Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
1,126,375,200,-75,2
3,126,3975,1200,1275,2
2,339,5325,2550,-75,2
1,339,7125,2550,-75,2
3,339,22100,6950,1150,2
0,12,1175,100,600,5
0,11,250,100,0,5
1,13,1500,200,850,3
0,6,250,150,-50,2
0,11,250,100,0,4
0,12,250,100,0,6
0,11,450,150,50,3
0,9,250,100,0,4
0,4,250,100,0,6
0,404,250,100,0,3
1,13,250,100,0,5
0,8,250,100,0,6
0,9,500,150,100,3
0,8,250,100,0,4
0,8,250,100,0,6
3,118,375,200,-75,2
2,118,500,325,-200,2
3,118,700,325,-125,2
2,327,900,525,-325,2
3,327,1680,525,255,2
2,327,2460,1305,-525,2
3,327,4610,1305,845,2
1,126,250,100,0,3
1,126,1600,250,850,2
0,9,250,100,0,4
1,124,250,100,0,5
4,124,600,225,0,2
4,124,850,225,0,2
1,404,375,200,-75,2
4,11,2500,1200,-75,2
4,11,3125,1200,-75,2
0,11,6063,1200,1738,2
0,9,250,100,0,3
0,407,250,100,0,5
0,11,450,200,0,2
0,7,250,100,0,3
0,6,460,100,110,6
1,13,250,100,0,6
1,11,250,150,-50,2
4,13,650,300,-50,2
0,7,250,100,0,3
0,13,460,100,110,6
3,13,450,200,0,2
3,126,800,400,-200,2
2,126,950,550,-350,2
4,126,950,550,-350,2
0,126,2500,550,1000,2
3,13,250,150,-50,2
4,126,300,200,-100,2
2,126,400,200,-100,2
2,126,400,200,-100,2
1,13,250,100,0,4
4,226,550,200,0,2
0,405,250,100,0,5
3,12,400,200,-50,2
2,12,550,350,-200,2
0,12,850,350,-50,2
1,13,250,150,-50,2
2,13,550,250,-50,2
4,106,550,250,-50,2
4,232,650,250,-50,2
1,13,250,100,0,3
1,13,1350,250,600,2
2,124,4360,1330,600,2
3,124,6120,1330,600,2
4,124,7880,3090,-1160,2
1,12,250,100,0,5
4,12,550,200,0,2
4,12,775,200,0,2
0,10,250,100,0,6
0,408,450,100,100,4
0,11,250,100,0,5
1,13,250,100,0,6
3,12,400,200,-50,2
2,118,550,350,-200,2
2,118,550,350,-200,2
2,240,550,350,-200,2
1,240,875,350,-25,2
0,3,250,100,0,3
